cities_retrieved,lat,temp,humidity,clouds,windspeed
Morant Bay,17.88,87.8,74,20,17.22
Sokoni,-12.89,75.32,29,0,3.6
Mani,41.41,89.45,37,68,9.53
Namie,37.52,72.89,87,8,3.6
Aklavik,68.22,56.1,67,40,4.7
Poum,41.28,78.8,54,40,6.93
Imbituba,-28.24,64.4,52,0,2.24
Itarema,-2.92,86.48,66,32,13.22
Yukamenskoye,57.89,72.35,73,76,5.39
Yomou,7.57,78.83,92,92,5.95
Gimli,50.63,78.38,70,0,7.07
Payo,-3.75,78.92,74,0,5.5
Laguna,27.52,87.8,66,75,2.24
Wajir,1.75,86.84,40,64,12.55
Las Vegas,36.17,83.48,51,75,5.82
Karratha,-20.74,53.45,78,0,5.5
Severobaykalsk,55.65,55.88,78,8,4.16
Zlobin,45.29,80.6,54,20,5.82
Talnakh,69.49,51.65,53,0,8.41
Wanning,48.64,77.0,44,40,4.7
De-Kastri,51.48,54.17,91,48,13.22
Sosnovoborsk,56.12,64.4,82,40,2.24
Srandakan,-7.94,69.38,82,0,6.06
Coquimbo,-29.95,48.2,100,90,6.93
Poddorye,57.47,76.85,70,68,7.96
Balkhash,46.84,79.19,74,8,4.16
Eseka,3.65,77.3,85,92,4.5
Ekibastuz,51.72,77.93,45,32,2.04
Tsogni,-2.79,75.05,91,0,10.65
Severo-Yeniseyskiy,60.37,61.82,85,92,2.59
Angoram,-4.06,74.78,100,64,2.37
Anse-Bertrand,16.47,86.0,62,75,18.34
Aswan,24.09,100.79,17,0,10.98
Matara,-13.74,42.8,92,75,2.37
Hofn,64.25,51.8,93,90,3.36
Sharhorod,48.75,76.67,67,8,11.1
Calatagan,13.88,76.58,100,92,6.62
Palembang,-2.99,78.8,83,0,8.05
Fare,-16.7,80.09,98,76,15.68
Leningradskiy,69.38,45.44,61,20,12.55
Dzerzhinskoye,56.84,67.13,80,12,3.49
Coolum Beach,-26.53,49.85,100,0,7.18
Warmbad,50.67,75.61,34,0,8.05
Henties Bay,-22.12,61.73,77,0,20.15
Doka,13.52,86.12,56,80,5.17
Puerto Escondido,15.86,82.4,65,5,5.95
Killarney,-28.34,33.47,88,0,3.49
